group,variable,value,,,
-2.25,0.75,0.0,,,
-2.25,1.0,0.0,,,
-2.25,1.25,0.0,,,
-2.25,1.5,0.0,,,
-2.25,1.75,0.0,,,
-2.25,2,14.2,,,
-2.25,2.25,0.0,,,
-2.25,2.5,0.0,,,
-2.25,2.75,0.0,,,
-2.25,3,10.5,,,
-2.25,3.25,0.0,,,
-2.25,3.5,15.8,,,
-2.25,3.75,0.0,,,
-2.25,4,0.0,,,
-2.25,4.25,60.9,,,
-2.25,4.5,0.0,,,
-2.25,4.75,0.0,,,
-2.25,5,0.0,,,
-2.25,5.25,0.0,,,
-2.25,5.5,0.0,,,
-2.0,0.75,0.0,,,
-2.0,1.0,51.4,,,
-2.0,1.25,49.4,,,
-2.0,1.5,56.3,,,
-2.0,1.75,34.5,,,
-2.0,2,59.8,,,
-2.0,2.25,50.6,,,
-2.0,2.5,41.4,,,
-2.0,2.75,53.2,,,
-2.0,3,62.8,,,
-2.0,3.25,47.3,,,
-2.0,3.5,50.5,,,
-2.0,3.75,42.9,,,
-2.0,4,47.4,,,
-2.0,4.25,54.3,,,
-2.0,4.5,58.8,,,
-2.0,4.75,41.7,,,
-2.0,5,47.1,,,
-2.0,5.25,45.1,,,
-2.0,5.5,0.0,,,
-1.75,0.75,0.0,,,
-1.75,1.0,58.3,,,
-1.75,1.25,60.8,,,
-1.75,1.5,56.5,,,
-1.75,1.75,55.2,,,
-1.75,2,88.3,,,
-1.75,2.25,81.6,,,
-1.75,2.5,80.4,,,
-1.75,2.75,70.6,,,
-1.75,3,77.7,,,
-1.75,3.25,82.2,,,
-1.75,3.5,84.1,,,
-1.75,3.75,90.3,,,
-1.75,4,81.5,,,
-1.75,4.25,38.5,,,
-1.75,4.5,55.9,,,
-1.75,4.75,56.2,,,
-1.75,5,47.4,,,
-1.75,5.25,47.5,,,
-1.75,5.5,47.7,,,
-1.5,0.75,0.0,,,
-1.5,1.0,45.0,,,
-1.5,1.25,59.8,,,
-1.5,1.5,53.1,,,
-1.5,1.75,40.2,,,
-1.5,2,92.3,,,
-1.5,2.25,98.5,,,
-1.5,2.5,90.4,,,
-1.5,2.75,82.1,,,
-1.5,3,94.4,,,
-1.5,3.25,95.3,,,
-1.5,3.5,96.9,,,
-1.5,3.75,98.8,,,
-1.5,4,96.7,,,
-1.5,4.25,70.4,,,
-1.5,4.5,78.5,,,
-1.5,4.75,85.6,,,
-1.5,5,52.5,,,
-1.5,5.25,56.4,,,
-1.5,5.5,0.0,,,
-1.25,0.75,0.0,,,
-1.25,1.0,40.3,,,
-1.25,1.25,57.2,,,
-1.25,1.5,80.3,,,
-1.25,1.75,79.4,,,
-1.25,2,77.7,,,
-1.25,2.25,88.8,,,
-1.25,2.5,70.9,,,
-1.25,2.75,76.4,,,
-1.25,3,93.1,,,
-1.25,3.25,91.2,,,
-1.25,3.5,88.5,,,
-1.25,3.75,98.3,,,
-1.25,4,75.6,,,
-1.25,4.25,75.8,,,
-1.25,4.5,41.5,,,
-1.25,4.75,59.0,,,
-1.25,5,56.0,,,
-1.25,5.25,46.4,,,
-1.25,5.5,0.0,,,
-1.0,0.75,0.0,,,
-1.0,1.0,47.5,,,
-1.0,1.25,0.0,,,
-1.0,1.5,73.0,,,
-1.0,1.75,78.0,,,
-1.0,2,71.0,,,
-1.0,2.25,75.4,,,
-1.0,2.5,82.0,,,
-1.0,2.75,70.5,,,
-1.0,3,73.0,,,
