y,x,group
355,48,A
364,40,A
364,41,A
364,46,A
370,43,A
374,7,A
378,45,A
378,38,A
378,48,A
383,15,A
383,36,A
383,37,A
389,43,A
389,20,A
391,3,A
392,6,A
392,40,A
394,3,A
394,36,A
395,38,A
396,11,A
397,39,A
401,5,A
404,14,A
405,17,A
405,18,A
406,15,A
410,26,A
410,21,A
412,12,A
413,21,A
414,13,A
414,33,A
415,22,A
417,16,A
418,24,A
419,13,A
420,25,A
420,26,A
422,27,A
423,42,A
423,22,A
427,12,A
427,25,A
429,1,A
429,4,A
430,17,A
431,3,A
431,24,A
431,2,A
431,23,A
434,26,A
435,27,A
436,25,A
443,9,A
444,24,A
449,5,A
449,25,A
450,8,A
453,27,A
355,48,A
364,40,A
364,41,A
364,46,A
370,43,A
374,7,A
378,45,A
378,38,A
378,48,A
383,15,A
383,36,A
383,37,A
389,43,A
389,20,A
391,3,A
392,6,A
392,40,A
394,3,A
394,36,A
395,38,A
396,11,A
397,39,A
401,5,A
404,14,A
405,17,A
405,18,A
406,15,A
410,26,A
410,21,A
412,12,A
413,21,A
414,13,A
414,33,A
415,22,A
417,16,A
418,24,A
419,13,A
420,25,A
420,26,A
422,27,A
423,42,A
423,22,A
427,12,A
427,25,A
429,1,A
429,4,A
430,17,A
431,3,A
431,24,A
431,2,A
431,23,A
434,26,A
435,27,A
436,25,A
443,9,A
444,24,A
449,5,A
449,25,A
450,8,A
453,27,A
355,48,A
364,40,A
364,41,A
364,46,A
370,43,A
374,7,A
378,45,A
378,38,A
378,48,A
383,15,A
383,36,A
383,37,A
389,43,A
389,20,A
391,3,A
392,6,A
392,40,A
394,3,A
394,36,A
395,38,A
396,11,A
397,39,A
401,5,A
404,14,A
405,17,A
405,18,A
406,15,A
410,26,A
410,21,A
412,12,A
413,21,A
414,13,A
414,33,A
415,22,A
417,16,A
418,24,A
419,13,A
420,25,A
420,26,A
422,27,A
423,42,A
423,22,A
427,12,A
427,25,A
429,1,A
429,4,A
430,17,A
431,3,A
431,24,A
431,2,A
431,23,A
434,26,A
435,27,A
436,25,A
443,9,A
444,24,A
449,5,A
449,25,A
450,8,A
453,27,A
355,48,A
364,40,A
364,41,A
364,46,A
370,43,A
374,7,A
378,45,A
378,38,A
378,48,A
383,15,A
383,36,A
383,37,A
389,43,A
389,20,A
391,3,A
392,6,A
392,40,A
394,3,A
394,36,A
395,38,A
396,11,A
397,39,A
401,5,A
404,14,A
405,17,A
405,18,A
406,15,A
410,26,A
410,21,A
412,12,A
413,21,A
414,13,A
414,33,A
415,22,A
417,16,A
418,24,A
419,13,A
420,25,A
420,26,A
422,27,A
423,42,A
423,22,A
427,12,A
427,25,A
429,1,A
429,4,A
430,17,A
431,3,A
431,24,A
431,2,A
431,23,A
434,26,A
435,27,A
436,25,A
443,9,A
444,24,A
449,5,A
449,25,A
450,8,A
453,27,A
355,48,A
364,40,A
364,41,A
364,46,A
370,43,A
374,7,A
378,45,A
378,38,A
378,48,A
383,15,A
383,36,A
383,37,A
389,43,A
389,20,A
391,3,A
392,6,A
392,40,A
394,3,A
394,36,A
395,38,A
396,11,A
397,39,A
401,5,A
404,14,A
405,17,A
405,18,A
406,15,A
410,26,A
410,21,A
412,12,A
413,21,A
414,13,A
414,33,A
415,22,A
417,16,A
418,24,A
419,13,A
420,25,A
420,26,A
422,27,A
423,42,A
423,22,A
427,12,A
427,25,A
429,1,A
429,4,A
430,17,A
431,3,A
431,24,A
431,2,A
431,23,A
434,26,A
435,27,A
436,25,A
443,9,A
444,24,A
449,5,A
449,25,A
450,8,A
453,27,A
458,35,B
338,28,B
328,28,B
460,30,B
435,35,B
355,25,B
305,28,B
425,35,B
351,30,B
318,31,B
352,28,B
384,25,B
356,29,B
458,29,B
370,30,B
454,26,B
392,26,B
450,33,B
354,32,B
326,32,B
341,35,B
362,33,B
367,33,B
435,25,B
459,35,B
333,32,B
303,25,B
389,34,B
374,25,B
432,28,B
351,26,B
396,33,B
407,32,B
342,25,B
411,33,B
312,30,B
412,32,B
459,26,B
362,27,B
329,33,B
438,33,B
342,33,B
417,32,B
387,28,B
339,31,B
351,35,B
401,33,B
455,29,B
355,27,B
358,31,B
322,25,B
420,35,B
376,29,B
431,31,B
434,33,B
378,26,B
456,31,B
427,34,B
315,27,B
344,27,B
317,30,B
326,32,B
390,29,B
447,25,B
386,27,B
359,28,B
429,33,B
437,32,B
372,29,B
431,35,B
301,27,B
430,31,B
428,30,B
340,26,B
308,27,B
419,25,B
355,28,B
356,35,B
347,32,B
408,35,B
354,32,B
350,34,B
331,28,B
407,25,B
313,27,B
348,34,B
398,27,B
455,29,B
404,25,B
320,25,B
458,27,B
439,25,B
354,34,B
362,28,B
423,30,B
453,34,B
319,27,B
441,25,B
378,28,B
362,29,B
441,27,B
417,27,B
379,32,B
369,28,B
332,27,B
438,30,B
336,28,B
354,34,B
376,28,B
458,28,B
446,26,B
457,35,B
358,28,B
334,32,B
340,34,B
361,26,B
310,27,B
453,25,B
339,27,B
306,27,B
305,34,B
448,32,B
415,27,B
431,27,B
333,28,B
336,31,B
348,29,B
438,29,B
440,32,B
324,32,B
425,33,B
406,35,B
421,33,B
439,29,B
408,34,B
348,25,B
323,26,B
418,32,B
333,29,B
436,34,B
390,28,B
336,27,B
444,27,B
412,32,B
421,32,B
413,35,B
397,29,B
459,28,B
422,27,B
445,35,B
439,27,B
330,32,B
370,33,B
328,30,B
304,30,B
406,25,B
456,26,B
426,26,B
380,32,B
332,29,B
303,31,B
352,35,B
379,28,B
436,34,B
363,30,B
329,35,B
401,25,B
304,34,B
351,31,B
308,27,B
443,27,B
339,35,B
319,29,B
