x,y,group
25,22,A
20,21,A
21,21,A
21,24,A
24,23,A
20,22,A
25,25,A
24,25,A
24,20,A
25,25,A
22,23,A
20,23,A
20,23,A
25,22,A
23,23,A
23,20,A
25,21,A
20,22,A
25,22,A
24,21,A
25,23,A
23,25,A
22,23,A
22,22,A
20,25,A
25,20,A
22,21,A
24,21,A
21,20,A
23,20,A
24,24,A
25,23,A
20,21,A
22,20,A
24,20,A
21,25,A
25,21,A
25,23,A
25,20,A
23,24,A
21,24,A
23,20,A
23,25,A
20,21,A
24,21,A
25,23,A
25,22,A
23,22,A
25,24,A
20,22,A
24,21,A
21,21,A
20,22,A
20,22,A
21,23,A
21,20,A
22,20,A
25,23,A
21,23,A
20,21,A
20,23,A
23,20,A
24,22,A
22,21,A
22,22,A
24,22,A
22,20,A
25,23,A
20,20,A
24,20,A
23,20,A
20,21,A
25,22,A
23,25,A
21,23,A
25,25,A
23,22,A
22,24,A
23,20,A
20,25,A
24,20,A
21,24,A
21,24,A
22,21,A
25,23,A
20,21,A
22,22,A
22,22,A
20,23,A
25,24,A
21,22,A
24,25,A
21,20,A
23,22,A
23,22,A
23,21,A
20,20,A
25,25,A
20,24,A
25,23,A
23,22,A
21,20,A
22,23,A
20,20,A
21,20,A
21,20,A
24,21,A
20,24,A
21,25,A
25,25,A
20,25,A
20,23,A
20,24,A
25,24,A
24,22,A
21,25,A
23,22,A
21,21,A
24,24,A
20,24,A
24,21,A
20,20,A
20,25,A
25,24,A
22,23,A
22,21,A
25,25,A
24,23,A
25,24,A
25,21,A
23,25,A
25,24,A
24,25,A
22,20,A
25,21,A
21,20,A
21,22,A
21,22,A
20,25,A
22,20,A
22,21,A
22,24,A
20,22,A
22,22,A
23,25,A
20,20,A
22,23,A
22,23,A
24,22,A
23,23,A
23,21,A
23,23,A
21,20,A
22,22,A
25,25,A
22,20,A
22,25,A
21,20,A
25,21,A
20,21,A
22,25,A
20,20,A
21,25,A
21,24,A
20,24,A
25,25,A
25,20,A
23,22,A
20,24,A
24,20,A
20,23,A
23,24,A
23,22,A
23,25,A
23,24,A
21,24,A
20,21,A
20,23,A
21,21,A
24,23,A
24,24,A
21,25,A
21,25,A
25,20,A
21,24,A
23,23,A
22,24,A
20,24,A
25,21,A
20,21,A
20,24,A
22,25,A
21,22,A
22,22,A
24,22,A
25,25,A
23,21,A
22,20,A
25,22,A
21,25,A
25,21,A
20,25,A
22,20,A
23,22,A
20,22,A
25,25,A
20,21,A
20,21,A
25,22,A
24,23,A
21,20,A
24,22,A
25,24,A
25,21,A
21,25,A
24,25,A
22,23,A
22,20,A
22,22,A
20,21,A
20,21,A
20,22,A
21,23,A
23,23,A
22,23,A
21,22,A
22,23,A
22,25,A
21,21,A
21,25,A
24,23,A
24,21,A
20,24,A
25,22,A
23,24,A
20,23,A
24,24,A
22,25,A
21,22,A
20,22,A
22,20,A
20,20,A
24,20,A
23,22,A
25,20,A
21,23,A
20,25,A
25,24,A
21,24,A
21,25,A
24,25,A
23,24,A
21,22,A
20,24,A
23,25,A
24,25,A
22,21,A
24,24,A
21,25,A
20,20,A
22,24,A
20,25,A
20,23,A
22,25,A
25,25,A
23,25,A
22,22,A
21,21,A
25,25,A
24,20,A
23,25,A
25,22,A
21,23,A
21,25,A
22,21,A
23,22,A
23,24,A
20,20,A
21,21,A
22,22,A
22,25,A
22,25,A
21,22,A
20,24,A
24,20,A
25,25,A
22,24,A
20,21,A
21,24,A
22,23,A
20,20,A
22,20,A
23,22,A
23,20,A
20,23,A
25,22,A
21,20,A
23,23,A
25,25,A
20,25,A
28,27,A
38,30,A
31,27,A
26,35,A
23,35,A
27,35,A
45,22,A
25,30,A
31,20,A
37,35,A
36,27,A
37,22,A
28,35,A
35,30,A
26,20,A
45,25,A
26,23,A
35,22,A
28,33,A
21,30,A
22,29,A
28,35,A
39,26,A
41,27,A
40,22,A
22,27,A
39,25,A
25,33,A
30,34,A
37,33,A
34,27,A
43,29,A
20,29,A
21,20,A
33,22,A
20,26,A
28,24,A
23,20,A
31,28,A
36,31,A
24,30,A
33,30,A
37,35,A
31,34,A
43,22,A
23,22,A
21,26,A
35,29,A
43,28,A
29,25,A
28,30,A
28,26,A
23,35,A
42,28,A
41,22,A
34,28,A
25,20,A
35,34,A
41,23,A
21,25,A
26,29,A
24,21,A
27,23,A
42,21,A
25,32,A
29,26,A
42,23,A
30,28,A
20,29,A
31,28,A
42,33,A
33,32,A
24,35,A
36,25,A
29,24,A
33,28,A
44,34,A
26,20,A
32,22,A
40,31,A
35,34,A
42,30,A
38,35,A
32,30,A
24,32,A
42,31,A
41,29,A
36,28,A
37,30,A
43,35,A
34,30,A
24,24,A
36,31,A
42,20,A
28,33,A
44,34,A
41,23,A
23,22,A
30,21,A
40,22,A
35,31,A
22,31,A
23,33,A
37,29,A
39,30,A
40,30,A
38,23,A
20,28,A
27,20,A
30,24,A
28,35,A
40,25,A
36,25,A
36,26,A
42,35,A
24,32,A
40,21,A
