Dist,Position
355,48
364,40
364,41
364,46
370,43
374,7
378,45
378,38
378,48
383,15
383,36
383,37
389,43
389,20
391,3
392,6
392,40
394,3
394,36
395,38
396,11
397,39
401,5
404,14
405,17
405,18
406,15
410,26
410,21
412,12
413,21
414,13
414,33
415,22
417,16
418,24
419,13
420,25
420,26
422,27
423,42
423,22
427,12
427,25
429,1
429,4
430,17
431,3
431,24
431,2
431,23
434,26
435,27
436,25
443,9
444,24
449,5
449,25
450,8
453,27
453,11
456,16
456,19
465,24
0,0
