group,variable,value,,,,
-2.25,1.0,1,,,,
-2.25,1.5,2,,,,
-2.25,2.0,5,,,,
-2.25,2.5,0,,,,
-2.25,3.0,6,,,,
-2.25,3.5,8,,,,
-2.25,4.0,7,,,,
-2.25,4.5,2,,,,
-2.25,5.0,1,,,,
-2.25,5.5,6,,,,
-1.75,1.0,2,,,,
-1.75,1.5,1,,,,
-1.75,2.0,4,,,,
-1.75,2.5,14,,,,
-1.75,3.0,20,,,,
-1.75,3.5,18,,,,
-1.75,4.0,12,,,,
-1.75,4.5,13,,,,
-1.75,5.0,19,,,,
-1.75,5.5,6,,,,
-1.25,1.0,20,,,,
-1.25,1.5,13,,,,
-1.25,2.0,64,,,,
-1.25,2.5,76,,,,
-1.25,3.0,86,,,,
-1.25,3.5,23,,,,
-1.25,4.0,31,,,,
-1.25,4.5,22,,,,
-1.25,5.0,17,,,,
-1.25,5.5,8,,,,
-0.75,1.0,12,,,,
-0.75,1.5,18,,,,
-0.75,2.0,76,,,,
-0.75,2.5,150,,,,
-0.75,3.0,173,,,,
-0.75,3.5,182,,,,
-0.75,4.0,206,,,,
-0.75,4.5,114,,,,
-0.75,5.0,19,,,,
-0.75,5.5,4,,,,
-0.25,1.0,13,,,,
-0.25,1.5,24,,,,
-0.25,2.0,58,,,,
-0.25,2.5,191,,,,
-0.25,3.0,280,,,,
-0.25,3.5,145,,,,
-0.25,4.0,84,,,,
-0.25,4.5,16,,,,
-0.25,5.0,4,,,,
-0.25,5.5,8,,,,
0.25,1.0,19,,,,
0.25,1.5,59,,,,
0.25,2.0,78,,,,
0.25,2.5,103,,,,
0.25,3.0,179,,,,
0.25,3.5,140,,,,
0.25,4.0,80,,,,
0.25,4.5,41,,,,
0.25,5.0,12,,,,
0.25,5.5,7,,,,
0.75,1.0,14,,,,
0.75,1.5,29,,,,
0.75,2.0,42,,,,
0.75,2.5,56,,,,
0.75,3.0,78,,,,
0.75,3.5,94,,,,
0.75,4.0,89,,,,
0.75,4.5,75,,,,
0.75,5.0,40,,,,
0.75,5.5,21,,,,
1.25,1.0,9,,,,
1.25,1.5,24,,,,
1.25,2.0,37,,,,
1.25,2.5,40,,,,
1.25,3.0,41,,,,
1.25,3.5,50,,,,
1.25,4.0,42,,,,
1.25,4.5,37,,,,
1.25,5.0,9,,,,
1.25,5.5,8,,,,
1.75,1.0,5,,,,
1.75,1.5,12,,,,
1.75,2.0,21,,,,
1.75,2.5,25,,,,
1.75,3.0,3,,,,
1.75,3.5,6,,,,
1.75,4.0,8,,,,
1.75,4.5,0,,,,
1.75,5.0,0,,,,
1.75,5.5,0,,,,
2.25,1.0,1,,,,
2.25,1.5,0,,,,
2.25,2.0,3,,,,
2.25,2.5,0,,,,
2.25,3.0,4,,,,
2.25,3.5,6,,,,
2.25,4.0,4,,,,
2.25,4.5,12,,,,
2.25,5.0,8,,,,
2.25,5.5,1,,,,
